"targetGene","N_TFs","RSquared"
"AGK",15,0.54377315072563
"AGL",15,0.659109267054182
"AGO2",15,0.658949706495631
"AGO3",15,0.608907431997252
"AGO4",15,0.39173092473646
"AGPAT3",15,0.529737331521795
"AGPAT4",15,0.34967388313073
"AGPAT5",13,0.268485240955381
"AGPS",15,0.582010746405186
"AGRN",15,0.765801040180994
"AGTPBP1",15,0.55140686438997
"AGTR1",15,0.442953485143231
"AGTRAP",15,0.515684668191732
"AHCTF1",15,0.712229543374894
"AHCY",15,0.657392697373616
"AHCYL1",15,0.552304784820685
"AHCYL2",15,0.723101022536058
"AHDC1",14,0.531279804916839
"AHI1",11,0.250875628063372
"AHNAK",15,0.617894437219238
"AHNAK2",15,0.570335000210126
"AHR",15,0.769428155031397
"AHSA1",15,0.451132241027463
"AHSA2P",15,0.486948400599302
"AIDA",15,0.765278758154683
"AIF1",15,0.803673148989588
"AIF1L",15,0.495276624612355
"AIFM1",15,0.32000783208088
"AIMP1",15,0.25182161549398
"AIMP2",15,0.321044619162889
"AIP",15,0.537761491478926
"AJM1",15,0.310170502372278
"AK2",15,0.273111664923057
"AK3",15,0.361434842029837
"AK4",15,0.656233827498543
"AKAP10",15,0.351267364554089
"AKAP11",15,0.586434951998561
"AKAP13",14,0.472828447061403
"AKAP17A",15,0.499777405425685
"AKAP2",15,0.37311698310242
"AKAP6",15,0.464912222642318
"AKAP8",15,0.48773070994166
"AKAP8L",15,0.667601222283979
"AKAP9",15,0.580936806902292
"AKIRIN1",15,0.631080875841047
"AKNA",15,0.679158908137764
"AKR1A1",15,0.528081961140064
"AKR1B1",15,0.590981382270225
"AKR1B15",15,0.631103092515682
"AKR7A2",15,0.336594468011913
"AKT1S1",15,0.585627629113525
"AKT2",15,0.436611934549863
"AKT3",12,0.313061600114186
"AKTIP",15,0.601467660266851
"ALAD",15,0.562919757534035
"ALAS1",15,0.689107523848978
"ALCAM",15,0.377868872890688
"ALDH16A1",15,0.329145420330871
"ALDH18A1",13,0.335680230166346
"ALDH1A2",15,0.444315010218892
"ALDH1B1",15,0.567268708095154
"ALDH1L2",15,0.471893781609606
"ALDH2",15,0.273161604921706
"ALDH3A2",15,0.621675525126451
"ALDH3B1",15,0.64288648202852
"ALDH3B2",15,0.312092649070782
"ALDH4A1",15,0.610769837281811
"ALDH7A1",15,0.82365001260658
"ALDOA",15,0.374703250175077
"ALG1",15,0.345625072707493
"ALG10",15,0.356740435838636
"ALG10B",15,0.611929201209032
"ALG11",15,0.703123527026875
"ALG12",15,0.484652235851786
"ALG13",7,0.25083452936218
"ALG2",15,0.784211822025472
"ALG3",15,0.65613031935353
"ALG5",15,0.51457117091087
"ALG6",15,0.477933822620642
"ALG8",15,0.301734880335683
"ALG9",15,0.51475535785085
"ALKBH1",15,0.409658891377218
"ALKBH2",15,0.301402605186432
"ALKBH4",15,0.371376146441542
"ALKBH5",15,0.7737478286148
"ALKBH7",15,0.659226663277851
"ALKBH8",15,0.500688978743605
"ALMS1",15,0.723962658354202
"ALOX12",15,0.322818721853414
"ALOX5AP",15,0.671166728836032
"ALOXE3",15,0.264833458352934
"ALPK2",15,0.262396670584309
"ALPK3",15,0.700892442605808
"ALPL",15,0.370159640782146
"ALPP",15,0.511247928416908
"ALX3",5,0.47769073223469
"ALYREF",15,0.652681407168535
"AMACR",15,0.461359445361253
"AMBRA1",15,0.717065381492077
"AMD1",15,0.550854530799714
"AMDHD2",15,0.457920674132733
"AMER1",15,0.287704459722838
"AMFR",15,0.760081031183093
"AMIGO2",15,0.468367949490973
"AMMECR1",15,0.634598357093693
"AMMECR1L",15,0.450532560941492
"AMN1",15,0.280200540070203
"AMOT",15,0.602532938151203
"AMOTL1",15,0.652705569265867
"AMOTL2",15,0.390752663792556
"AMPD2",15,0.325233050298303
"AMT",15,0.429897532116058
"AMZ1",15,0.74510371691982
"AMZ2",15,0.311809342493246
"ANAPC1",15,0.382208100752199
"ANAPC10",15,0.262661618271619
"ANAPC11",15,0.478152548643012
"ANAPC15",15,0.362914767213487
"ANAPC16",10,0.308658891742432
"ANAPC2",15,0.473906047441093
"ANG",14,0.250477537852827
"ANGEL2",15,0.354063356243815
"ANGPTL1",7,0.712031861452303
"ANGPTL2",15,0.761549243834897
"ANGPTL4",15,0.501279310943404
"ANK1",15,0.254889964759399
"ANK3",15,0.574905222714869
"ANKDD1A",15,0.511933133451166
"ANKFY1",15,0.519781559381917
"ANKH",15,0.44593408891029
"ANKHD1",15,0.526317707110009
"ANKIB1",15,0.657073213960107
"ANKMY1",15,0.285238134723758
"ANKMY2",15,0.533152334503863
"ANKRA2",15,0.465559868325632
"ANKRD11",15,0.380806888053077
"ANKRD12",15,0.770370724914903
"ANKRD13A",15,0.590582449026416
"ANKRD13B",13,0.346845632140237
"ANKRD13C",15,0.462115893598016
"ANKRD13D",15,0.584466439463784
"ANKRD17",15,0.774889847083236
"ANKRD18EP",15,0.409397916875753
"ANKRD20A5P",15,0.375799303281384
"ANKRD24",15,0.284869532313411
"ANKRD26",15,0.283686559938296
"ANKRD28",15,0.388861214558914
"ANKRD33",14,0.459862369387835
"ANKRD36",15,0.393250037837739
"ANKRD37",15,0.781080447394906
"ANKRD39",15,0.353558268392951
"ANKRD40",15,0.730657201090386
"ANKRD44",15,0.577902447478656
"ANKRD46",15,0.252177722563085
"ANKRD49",15,0.370747891717826
"ANKRD50",15,0.651157412619513
"ANKRD52",15,0.51153939965372
"ANKRD6",15,0.304068290306208
"ANKRD65",15,0.470226261816542
"ANKRD9",15,0.692343054596585
"ANKS1A",15,0.508085734355224
"ANKS3",15,0.383579703452054
"ANKS6",15,0.36149549962673
"ANO10",15,0.265757689098814
"ANO2",15,0.256490272442121
"ANO6",15,0.541815299789022
"ANO8",15,0.520595847044563
"ANO9",15,0.268233274606233
"ANOS1",15,0.379160217852104
"ANP32B",15,0.364743942525228
"ANP32E",15,0.560267591824912
"ANPEP",15,0.531866819527809
"ANTXR1",15,0.76696306592364
"ANTXR2",15,0.33341262087558
"ANXA11",15,0.284173478165755
"ANXA4",15,0.548688669381845
"ANXA5",15,0.537775577008776
"ANXA6",15,0.610618643178859
"AOAH",15,0.743052538606357
"AOC3",15,0.73175283914188
"AP1AR",15,0.426566191503411
"AP1B1",15,0.318069952683453
"AP1G1",15,0.648058075070603
"AP1G2",15,0.427593915795211
"AP1M1",15,0.305785901551439
"AP1M2",15,0.560623250743467
"AP1S2",15,0.683666000819033
"AP1S3",15,0.319935783434063
"AP2A1",15,0.509073591587925
"AP2B1",15,0.456944197902624
"AP2M1",15,0.671690968494507
"AP3D1",15,0.369140983556912
"AP3M1",15,0.410626098252448
"AP3M2",15,0.293213595572681
"AP3S1",15,0.358208769023509
"AP4B1",15,0.442708336270254
"AP4E1",15,0.678304352644182
"AP4M1",15,0.324841348441264
"AP4S1",15,0.412279166428459
"AP5B1",15,0.616875397120711
"AP5M1",15,0.542566908159538
"AP5S1",15,0.624011488974579
"AP5Z1",15,0.369800095255667
"APAF1",15,0.612125314921818
"APBA3",15,0.550538864239777
"APBB1IP",15,0.843415309301059
"APBB2",10,0.297709556269325
"APBB3",15,0.416689111361248
"APC",15,0.679787476380112
"APC2",15,0.641921870349754
"APCDD1",15,0.384329670916195
"APEH",15,0.461778330644082
"APEX1",15,0.703778698354392
"APEX2",15,0.350962013769423
"APH1A",15,0.539501555950678
"APH1B",15,0.362472900622831
"API5",15,0.730878214100094
"APLF",15,0.28301098403157
"APLN",15,0.583646101518137
"APLNR",15,0.895867062962124
"APLP2",15,0.475487604403871
"APMAP",15,0.52137799356115
"APOBEC3A",15,0.493987336519467
"APOBEC3C",15,0.670166625294667
